generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash,best_fit_candidate_i
0,150,0.00029606015472683937,0.0005386878025787186,0.0003661675946541392,0.0003739556423663222,4.5043140193224036e-05,[7, 8, 0, 1, 5, 4, 2, 6, 3, 9],0
1,150,0.0002935584178635051,0.0005344352661335416,0.0003910552257938583,0.00039673430550425323,4.800834407587588e-05,[5, 7, 2, 4, 6, 9, 3, 7, 1, 0],0
2,150,0.00031431621061908156,0.0005542889234816918,0.0004184978185304878,0.00042248979161916704,5.1604035252368844e-05,[9, 8, 7, 5, 1, 2, 6, 4, 7, 3],0
3,150,0.0002989482708279475,0.0006778906982665878,0.0004424716886948356,0.00044605607926757125,5.978664076649402e-05,[0, 7, 1, 5, 2, 6, 2, 7, 4, 0],0
4,150,0.0003333174018126901,0.0007047259613290897,0.0004594880860236357,0.0004663985060071033,6.599535471162748e-05,[5, 7, 2, 2, 6, 9, 3, 0, 1, 5],0
5,150,0.000338425765023326,0.0007673720692327407,0.00047919800182604985,0.00048825950520272736,7.480929340379691e-05,[5, 7, 2, 2, 6, 2, 3, 0, 1, 5],0
6,150,0.00036330373322428103,0.0009497419849211594,0.0005111195024824347,0.000520401207335429,8.450404849305085e-05,[3, 7, 4, 4, 0, 1, 5, 7, 7, 3],0
7,150,0.00037207634751675506,0.0009497419849211594,0.0005269295240649373,0.0005444773193598139,8.763984726209626e-05,[3, 7, 4, 4, 0, 1, 5, 7, 7, 3],0
8,150,0.00037167394720500154,0.0009497419849211594,0.0005566676100353038,0.0005727500979810644,0.00010937126037814985,[3, 7, 4, 4, 0, 1, 5, 7, 7, 3],0
9,150,0.00040160387709892864,0.0011597328348235372,0.0005764811026456903,0.0006079850204070426,0.00012676411018646373,[1, 5, 5, 5, 4, 7, 5, 7, 7, 4],0
10,150,0.00041415583690056744,0.0014310702198664141,0.0006160168033406497,0.0006461192791521177,0.0001548284242496433,[5, 7, 2, 2, 6, 2, 6, 7, 7, 5],0
11,150,0.00045554382051245777,0.0015290844577428055,0.0006649885760968455,0.00069773210862592,0.00016510559384235964,[5, 5, 2, 2, 6, 2, 6, 7, 7, 5],0
12,150,0.0004807700518597316,0.00146066265112519,0.0007056179652420367,0.0007462834939012212,0.00017896630549197454,[5, 7, 5, 4, 5, 5, 7, 7, 5, 4],0
13,150,0.0004915866612459205,0.001461938095406865,0.0007865346436495518,0.0008128824906595566,0.00018282581131309815,[5, 7, 5, 4, 5, 5, 7, 7, 4, 4],0
14,150,0.0005414926257929435,0.0024914118665420987,0.0008540924685833813,0.0009143402772151412,0.00024298260570199373,[5, 7, 5, 5, 5, 5, 7, 7, 4, 4],0
15,150,0.0005870779766507985,0.0024707799293628937,0.0009585851759605528,0.000990481325952318,0.00026012264038921697,[5, 5, 5, 5, 5, 7, 7, 7, 7, 2],0
16,150,0.0005320189979193363,0.016760038078849772,0.0010448451574678272,0.0012006339372164277,0.0013035182037110383,[5, 5, 5, 5, 5, 7, 7, 7, 7, 5],0
