generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,0.0005386878025787186,524182109374346183,0,0,7  8  0  1  5  4  2  6  3  9
0,1,0.0005039244227338294,1590288235019684878,0,0,5  7  2  4  6  9  3  8  1  0
0,2,0.0004967695831482316,3147267641370936155,0,0,9  8  0  5  1  2  6  4  7  3
0,3,0.0004958555691287762,7019078324588818859,0,0,5  0  1  4  2  3  9  8  7  6
0,4,0.00048225830792190364,6868741131995833271,0,0,4  5  6  2  7  9  3  1  0  8
0,5,0.0004758218442258411,3660849111959662222,0,0,3  7  5  2  0  1  4  6  8  9
0,6,0.000467268307864547,8872422229203637446,0,0,9  1  0  4  5  7  8  3  6  2
0,7,0.0004589486206767584,-4403826641312125182,0,0,7  9  3  5  1  4  2  6  8  0
0,8,0.0004575966119646773,-7112580208179644776,0,0,8  1  4  0  6  2  9  3  7  5
0,9,0.0004575087216030741,-8933426645086608979,0,0,1  5  0  3  8  9  7  6  2  4
0,10,0.00045299863754046376,-836309138891347105,0,0,8  5  6  2  3  9  1  7  4  0
0,11,0.00044784066753576025,4653999909049102694,0,0,5  7  1  4  3  9  6  2  0  8
0,12,0.00044761746965628975,-6185943116109850321,0,0,5  2  6  4  1  3  8  9  7  0
0,13,0.00044719288713294085,8998687863405928495,0,0,8  1  5  9  3  6  7  2  4  0
0,14,0.00044235720021410375,-7145103513895118025,0,0,5  7  1  0  4  3  2  6  8  9
0,15,0.0004415299001341934,169530247461659096,0,0,6  9  8  4  7  3  1  0  5  2
0,16,0.0004356226695798266,2047974588270115148,0,0,8  3  9  4  0  5  2  6  1  7
0,17,0.0004270832407979166,-6529980345527430779,0,0,1  8  7  3  5  2  6  9  4  0
0,18,0.000420661620259103,279567569954433169,0,0,6  2  3  0  1  8  5  4  7  9
0,19,0.00041828295322126474,337050524404275218,0,0,0  4  6  5  8  9  2  3  7  1
0,20,0.0004163051611512487,642159133106768197,0,0,5  7  0  2  6  4  3  9  1  8
0,21,0.00041567929165473564,-8326719557997707258,0,0,9  3  2  4  6  1  5  7  8  0
0,22,0.00041455184640677896,-2992749921011567153,0,0,3  2  4  6  1  0  9  8  7  5
0,23,0.00041321912913474797,4725739098442387007,0,0,8  9  1  2  6  3  5  0  4  7
0,24,0.0004112252415796985,-8353483140295930826,0,0,8  9  0  1  2  4  3  6  5  7
0,25,0.000410284005167772,-6069506752445841002,0,0,2  1  5  9  3  8  0  6  7  4
0,26,0.000410099625884205,4194482509621354060,0,0,3  5  4  2  0  1  9  8  7  6
0,27,0.0004098167800298601,8294505868975491175,0,0,1  7  4  5  3  8  9  0  2  6
0,28,0.0004070356159055246,-4096808589621634635,0,0,3  2  4  1  0  6  7  8  9  5
0,29,0.0004043775009939771,-1851023446734578658,0,0,7  1  5  6  9  2  4  0  8  3
0,30,0.00040327563286751553,-596677783738411705,0,0,0  4  1  6  2  9  7  3  8  5
0,31,0.0003990584694965077,-862803154440297406,0,0,3  4  0  2  5  6  1  7  8  9
0,32,0.0003986019110407012,4633756731723724619,0,0,8  3  6  2  9  4  5  0  7  1
0,33,0.0003982155430470069,-5518946366031557768,0,0,2  7  6  1  4  0  5  9  3  8
0,34,0.0003973779929604999,6014216819936439587,0,0,3  9  0  8  4  1  6  5  2  7
0,35,0.00039620051192582604,4038789104987687783,0,0,7  5  6  9  2  0  4  1  8  3
0,36,0.000394836446131691,4265586945575281334,0,0,5  6  4  1  0  3  8  7  2  9
0,37,0.00039348489912260047,-6406685126233482019,0,0,4  6  0  8  9  1  7  5  3  2
