generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash,best_fit_candidate_i
0,150,1552.174911356235,35.46964754360886,863.7983885226815,846.6381560615962,279.70280636584454,[420.8002699959792, 404.0248425623388],0
1,150,1445.007817669986,122.12073151859454,675.9429530510134,691.4354642310483,268.1143708871603,[-305.6701583659104, 425.3540119435529],0
2,150,952.6491144045561,100.11148997152736,553.4323425684526,549.5313343630415,193.5154850627766,[438.0316295846768, 443.6186354714323],0
3,150,869.5070762458338,60.56120497547363,480.0017750770121,480.07981611795435,175.40749949817882,[399.148687536245, 425.3540119435529],0
4,150,860.663264300584,12.010911480109712,383.72993966714114,378.43156794024407,165.86383476817804,[429.685121732432, 425.3540119435529],0
5,150,739.3665148865755,12.010911480109712,270.28757954180423,274.92328906514126,148.38020340705955,[429.685121732432, 425.3540119435529],2
6,150,515.3119639296519,12.010911480109712,174.2834030246711,198.08281551706975,130.4105702945942,[429.685121732432, 425.3540119435529],4
7,150,551.3811075265344,9.796887212355841,93.59891282828119,123.04804348572186,99.78522127213076,[429.685121732432, 419.66514150716944],0
8,150,294.9966659851649,9.796887212355841,60.56120497547363,71.4310175557774,52.87242094479345,[429.685121732432, 419.66514150716944],1
9,150,183.35570839344814,9.796887212355841,38.876513096673875,45.262018637553915,30.35644892083674,[429.685121732432, 419.66514150716944],5
10,150,100.11148997152736,9.796887212355841,38.876513096673875,31.814670930620057,17.23549949098221,[429.685121732432, 419.66514150716944],9
11,150,60.56120497547363,9.796887212355841,12.010911480109712,23.231331570633493,13.954378558075094,[429.685121732432, 419.66514150716944],22
12,150,38.876513096673875,9.796887212355841,12.010911480109712,15.154150980814402,9.683880340818684,[429.685121732432, 419.66514150716944],48
13,150,38.876513096673875,9.796887212355841,9.796887212355841,11.337890246068879,3.9835762066416467,[429.685121732432, 419.66514150716944],80
14,150,12.010911480109712,9.796887212355841,9.796887212355841,10.254452227691642,0.8964899914496439,[429.685121732432, 419.66514150716944],118
15,150,12.010911480109712,9.796887212355841,9.796887212355841,9.841167697710919,0.3099633974855419,[429.685121732432, 419.66514150716944],146
16,150,9.796887212355841,9.796887212355841,9.796887212355841,9.796887212355841,0.0,[429.685121732432, 419.66514150716944],149
