generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash,best_fit_candidate_i
0,150,994509.568270878,14.21016673650383,20151.34481186523,132210.72867899304,213103.52646910585,[-2.496964481425498, 6.094069192132711],0
1,150,530488.8614011046,0.8267587767940967,4000.9291344608296,29979.102012664054,77253.03496954244,[0.2877957745933184, 0.026299961133594785],0
2,150,83940.43186569758,0.8195109753638248,1584.7797576744765,4794.644569817763,10903.964102359685,[1.683093664511988, 2.8922091672310275],0
3,150,10963.004206065581,0.2896864134456646,1233.3297442337257,2193.740397062501,2546.7630336412944,[0.5278555835536576, 0.30447064700140825],0
4,150,7464.026000604161,0.8057872153814757,628.4814024014352,1188.6953059307857,1521.4128216872766,[0.11270270574094443, 0.026299961133594785],0
5,150,6810.992766112616,0.8057872153814757,406.64631910888374,942.7711224972657,1360.3050218491344,[0.11270270574094443, 0.026299961133594785],0
6,150,5161.374041759992,1.0881928884211356,529.1920161839562,662.4643405529764,818.4996999467704,[-0.009712530963249755, 0.026299961133594785],1
7,150,4413.381941595234,1.0881928884211356,375.123236885269,430.3018568793505,631.7595751972231,[-0.009712530963249755, 0.026299961133594785],1
8,150,972.5015713750068,0.8057872153814757,135.46469054556994,256.9969787122961,283.17964647148233,[0.11270270574094443, 0.026299961133594785],1
9,150,972.5015713750068,0.8057872153814757,152.8571603450527,261.20772491592965,280.49337533135287,[0.11270270574094443, 0.026299961133594785],1
10,150,1026.2572428753174,0.8057872153814757,55.48831318305304,216.81441747091634,262.5348841717896,[0.11270270574094443, 0.026299961133594785],0
11,150,700.137552612404,0.8057872153814757,10.546767124168296,144.62966849829553,207.69569012288346,[0.11270270574094443, 0.026299961133594785],0
12,150,627.3677070597042,0.8057872153814757,9.389524585083795,49.06788140575761,131.2047722278252,[0.11270270574094443, 0.026299961133594785],7
13,150,401.55271624086214,0.8057872153814757,1.2951668114424737,6.476018742521709,32.601366381358915,[0.11270270574094443, 0.026299961133594785],10
14,150,14.424537073985139,0.8057872153814757,1.2951668114424737,2.3700851107320515,3.144938175401761,[0.11270270574094443, 0.026299961133594785],27
15,150,14.424537073985139,0.8057872153814757,1.2951668114424737,1.7043151700949728,2.530359753928537,[0.11270270574094443, 0.026299961133594785],45
16,150,2.418522403488001,0.8057872153814757,0.8057872153814757,1.0071577436533552,0.24562696052352126,[0.11270270574094443, 0.026299961133594785],79
