generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash,best_fit_candidate_i
0,150,22.21161270275537,7.663368230445496,20.667117895201812,19.855759616039833,2.513228842486764,[1.5156724526285785, 1.9801723542703442],0
1,150,22.044816449159725,3.8222348571976004,19.946518125038402,19.197195869600606,2.5660730413306854,[1.0470716718443285, -0.23137924729272186],0
2,150,21.700190050875126,3.8222348571976004,18.840054488895767,17.840067447803467,3.301771249567226,[1.0470716718443285, -0.23137924729272186],0
3,150,20.867126878268454,6.02153227754409,17.24347806395807,16.58611404114268,3.3600671287060666,[1.0470716718443285, -2.1112894072187984],0
4,150,20.693867049746142,1.9162591500965367,15.555819405282081,14.833702283581248,3.539984860626077,[0.03662323500892484, -0.2660338932820707],0
5,150,18.958484252811477,3.3704388215791963,13.121845079770793,12.579394425785525,3.6083601781224868,[1.0470716718443285, -0.15643124326501123],0
6,150,18.49824886207293,2.619460189533172,10.546583898565057,10.362424170065564,3.6188976450509,[0.03662323500892484, 0.9627553137740321],2
7,150,16.001478926662426,1.0204465141218617,8.531764647968929,8.487485916025495,3.2131371356721905,[0.03662323500892484, -0.15643124326501123],0
8,150,13.290423788355747,1.0204465141218617,6.446609260708787,6.32090968577265,2.6506830385627786,[0.03662323500892484, -0.15643124326501123],3
9,150,10.286154162001319,1.0204465141218617,3.8222348571976004,4.801296499276564,2.3053307721196368,[0.03662323500892484, -0.15643124326501123],7
10,150,8.531764647968929,1.0204465141218617,3.3704388215791963,3.3673788652722694,1.7646881313581233,[0.03662323500892484, -0.15643124326501123],22
11,150,7.559357790501114,1.0204465141218617,2.619460189533172,2.402460781642002,1.3016276521084302,[0.03662323500892484, -0.15643124326501123],40
12,150,3.8222348571976004,1.0204465141218617,1.6450838020123446,1.7940783164097767,0.8933568931207138,[0.03662323500892484, -0.15643124326501123],67
13,150,4.017771996680352,1.0204465141218617,1.0204465141218617,1.3534890265177615,0.6296922113908101,[0.03662323500892484, -0.15643124326501123],104
14,150,2.619460189533172,1.0204465141218617,1.0204465141218617,1.0865010952841927,0.22834695953595158,[0.03662323500892484, -0.15643124326501123],136
15,150,1.6450838020123446,1.0204465141218617,1.0204465141218617,1.024610762707798,0.05083113196197496,[0.03662323500892484, -0.15643124326501123],148
16,150,1.0204465141218617,1.0204465141218617,1.0204465141218617,1.0204465141218613,4.440892098500626e-16,[0.03662323500892484, -0.15643124326501123],149
