generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash,best_fit_candidate_i
0,150,79.68499394116279,9.141045974627495,37.81500793925534,37.9043624443139,14.264722814171032,[-1.100411991893834, 2.0921007778053653],0
1,150,66.16156715442077,4.983276507126379,29.503710208560996,30.138207326101657,12.448591975441085,[-1.0145974651887757, -0.1453977567054725],0
2,150,51.00350269719502,4.794697501372636,23.57045080287201,24.158327236108978,10.47815295687965,[-1.100411991893834, 1.0530238425704388],0
3,150,44.77860563560617,2.3554880784520176,16.736483585373534,17.93649040782926,9.195349876143572,[-1.0145974651887757, -1.0331840920554267],0
4,150,48.66386717214833,2.3554880784520176,12.17437811720066,13.125857323887399,6.685034949528062,[-1.0145974651887757, -1.0331840920554267],0
5,150,29.33627550693076,2.3554880784520176,8.584619862128179,9.711955049326294,5.431324249088442,[-1.0145974651887757, -1.0331840920554267],2
6,150,18.898991203808905,2.3554880784520176,6.098640927067666,6.36238118558562,3.3974248769448394,[-1.0145974651887757, -1.0331840920554267],4
7,150,14.523519115062198,2.3554880784520176,4.088905319409777,4.437107446598972,1.962167210519115,[-1.0145974651887757, -1.0331840920554267],11
8,150,10.691776355087196,2.3554880784520176,2.9776414581303374,3.414126641053831,1.1864847219033734,[-1.0145974651887757, -1.0331840920554267],22
9,150,5.97075766395342,2.3554880784520176,2.7147659218438456,2.929274614981968,0.6668044397153471,[-1.0145974651887757, -1.0331840920554267],36
10,150,4.115031247081563,2.3554880784520176,2.6029712402514225,2.57446304843766,0.28219651598131273,[-1.0145974651887757, -1.0331840920554267],63
11,150,2.9577375837471678,2.3554880784520176,2.3554880784520176,2.4370649086667493,0.12744205627068317,[-1.0145974651887757, -1.0331840920554267],100
12,150,2.7192774217399283,2.3554880784520176,2.3554880784520176,2.382463379602912,0.07631181938762284,[-1.0145974651887757, -1.0331840920554267],131
13,150,2.6029712402514225,2.3554880784520176,2.3554880784520176,2.358787853942677,0.02838574207886159,[-1.0145974651887757, -1.0331840920554267],147
14,150,2.3554880784520176,2.3554880784520176,2.3554880784520176,2.355488078452018,4.440892098500626e-16,[-1.0145974651887757, -1.0331840920554267],149
15,150,2.3554880784520176,2.3554880784520176,2.3554880784520176,2.355488078452018,4.440892098500626e-16,[-1.0145974651887757, -1.0331840920554267],149
16,150,2.3554880784520176,2.3554880784520176,2.3554880784520176,2.355488078452018,4.440892098500626e-16,[-1.0145974651887757, -1.0331840920554267],149
